Date,Open,High,Low,Last,Close,Total Trade Quantity,Turnover (Lacs)
15-06-18,1006,1023.5,999.25,1012.45,1014.2,11294702,114695.23
14-06-18,997.45,1011.8,987.4,1007,1007.95,5484867,54915.74
13-06-18,1000,1005.9,989.5,1002.5,1002.5,5926020,59215.58
12-06-18,983.4,1000,980.3,999.4,997.15,7445221,73792.66
11-06-18,987.1,999.95,979.05,980.05,982.65,6866053,68060.07
08-06-18,966.35,986.55,960.6,983.1,984.35,6532599,63666.72
07-06-18,954.9,976,954.45,970.85,971.35,6857300,66467.52
06-06-18,947,956,942.65,954,954.4,4189483,39884.23
05-06-18,942.8,955,941,948.9,947.65,7971524,75686.56
04-06-18,933.4,944,930.55,941.5,940.85,5600357,52628.29
01-06-18,920,935.75,918.45,928.6,930.55,8765835,81253.89
31-05-18,921,922.3,914.55,920.3,921.35,16951801,156138.66
30-05-18,914.85,923.2,906.6,915.8,916.1,5991222,54867.73
29-05-18,921.5,928,914.4,916.9,917.45,8173396,75221.51
28-05-18,924.9,927,918.1,919.95,920.4,5197835,47934.95
25-05-18,916,923.4,914.45,922,920.8,8129520,74815.73
24-05-18,914,921,910.15,917.95,915.85,5317983,48737.24
23-05-18,926,926,909.15,913.8,912.25,4567562,41907.1
22-05-18,933.15,934,925,927.1,926.75,5170585,48099.25
21-05-18,930.75,935.7,922.1,934.8,931.35,6624893,61416.03
18-05-18,945.6,953.5,932,934.5,933.85,5230037,49220.42
17-05-18,959.35,960,941.5,944,945.35,4733477,44952.73
16-05-18,974,974,952.45,954.4,956.15,8613363,82903.13
15-05-18,983.05,1000,976.65,978.55,978.95,4800923,47469.08
14-05-18,991.95,991.95,976.7,984.95,986.6,2579561,25388.91
11-05-18,981.25,991.3,977.75,986,989.25,4011516,39587.24
10-05-18,980,984.6,974.25,979.15,981.15,4014645,39370.24
09-05-18,965.9,984.3,962.25,976.2,976.7,4494423,43757.4
08-05-18,977.5,982,965.2,966,967.1,4934036,47979.15
07-05-18,958.85,973.25,956.35,971.9,971,3512532,33854.51
04-05-18,962.85,964.7,950,953.6,953.95,3795692,36236.86
03-05-18,977.9,977.9,959.25,962,961.6,3947546,38065.13
02-05-18,967,979.2,965.05,974.8,972.7,6117761,59546.55
30-04-18,982,992.6,960,963.5,963.3,8871802,86002.7
27-04-18,989.8,1011,985.5,996.5,996.3,11666267,116658.73
26-04-18,973,988,962.25,973.15,975.35,15588001,152316.97
25-04-18,973.65,981.8,963.55,972,970.5,6436620,62499.61
24-04-18,935.8,975.7,935,971.6,970.05,9107264,87417.18
23-04-18,930,944.35,928.5,935,936,3508515,32849.54
20-04-18,938,941.85,921.2,930,927.9,3349519,31090.72
19-04-18,939.1,945,935,942,942.3,4481413,42181.34
18-04-18,945.25,948.2,935.05,937.7,938,3365196,31674.84
17-04-18,940,947.2,936,945,944.25,4388713,41356.07
16-04-18,934.45,940,928.5,938.1,937.05,4084450,38090.42
13-04-18,932.7,941.7,928.7,939.85,938.85,5767984,54049.08
12-04-18,929.85,936.65,924.2,927.1,928.7,4947725,45983.63
11-04-18,921.8,932.75,916.05,931.75,930.85,6007539,55742.46
10-04-18,918.4,923.9,914.15,915.5,917.05,3865402,35527.73
09-04-18,912.55,919,912.55,915,916,3572251,32722.23
06-04-18,908,918.5,905,911.95,911,4418462,40332.21
05-04-18,905.1,910,903.5,908,908.2,3898676,35376.6
